"Year","Area","ID","Bat_number","Distance","Species","Number_of_bats","Pinta_kolo","Height","Entrance_distance","Bunker_height","New_species"
2024,"Etelapaa","43",1,3.24,"Enil",1,NA,NA,8.085,2,"Enil"
2024,"Etelapaa","40",1,3.965,"Enil",1,"pinta",1.8,12.882,2.1,"Enil"
2024,"Etelapaa","38",1,7.223,"Enil",1,"pinta",4.3,14.835,4.3,"Enil"
2024,"Etelapaa","38",2,10.394,"Enil",1,"pinta",1.7,14.835,2.2,"Enil"
2024,"Etelapaa","38",3,10.703,"Enil",1,"pinta",1.6,14.835,2.2,"Enil"
2024,"Etelapaa","38",4,10.3,"Enil",1,"pinta",2.2,14.835,2.2,"Enil"
2024,"Etelapaa","167",1,14.777,"Enil",3,"kolo",3,21.122,3.6,"Enil"
2024,"Etelapaa","167",2,15.072,"Enil",1,"kolo",2.5,21.122,3.6,"Enil"
2024,"Etelapaa","167",3,14.634,"Mmbra",1,"kolo",3,21.122,3.6,"Myotis"
2024,"Etelapaa","173",1,6.137,"Enil",1,"pinta",1.8,11.247,2,"Enil"
2024,"Harju","82",1,7.019,"Enil",1,"kolo",1.3,10.897,1.9,"Enil"
2024,"Harju","82",2,7.305,"Enil",1,"kolo",1.9,10.897,1.9,"Enil"
2024,"Harju","83",1,5.842,"Enil",1,"pinta",2.1,8.101,2.1,"Enil"
2024,"Harju","160",1,11.78,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis"
2024,"Harju","160",2,13.35,"Mmbra",4,"kolo",2,26.684,2.8,"Myotis"
2024,"Harju","160",3,9.979,"Mmbra",3,"kolo",2.8,26.684,2.8,"Myotis"
2024,"Harju","160",4,11.116,"Mmbra",6,"pinta",2.8,26.684,2.8,"Myotis"
2024,"Harju","160",5,12.006,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis"
2024,"Harju","160",6,17.574,"Mmbra",6,"pinta",3,26.684,3,"Myotis"
2024,"Harju","160",7,22.141,"Mdau",1,"pinta",1.5,26.684,3.3,"Myotis"
2024,"Harju","160",8,23.125,"Mmbra",10,"pinta",3.3,26.684,3.3,"Myotis"
2024,"Harju","160",9,22.557,"Mmbra",2,"pinta",3.3,26.684,3.3,"Myotis"
