"Year","ID","Bat_number","Distance","Species","Number_of_bats","Pinta_kolo","Height","Entrance_distance","Bunker_height","New_species","Relative_distance","Relative_height","Area","Perimeter","Volume","Entrances_number"
2024,"43",1,3.24,"Enil",1,NA,NA,8.085,2,"Enil",0.400742115027829,NA,22.431,33.49,44.862,1
2024,"43",1,3.24,"Enil",1,NA,NA,8.085,2,"Enil",0.400742115027829,NA,22.431,33.49,44.862,1
2024,"43",1,3.24,"Enil",1,NA,NA,8.085,2,"Enil",0.400742115027829,NA,22.431,33.49,44.862,1
2024,"40",1,3.965,"Enil",1,"pinta",1.8,12.882,2.1,"Enil",0.307793820835274,0.857142857142857,30.913,38.64,61.826,1
2024,"40",1,3.965,"Enil",1,"pinta",1.8,12.882,2.1,"Enil",0.307793820835274,0.857142857142857,30.913,38.64,61.826,1
2024,"40",1,3.965,"Enil",1,"pinta",1.8,12.882,2.1,"Enil",0.307793820835274,0.857142857142857,30.913,38.64,61.826,1
2024,"38",1,7.223,"Enil",1,"pinta",4.3,14.835,4.3,"Enil",0.486889113582743,1,26.275,33.583,52.55,1
2024,"38",1,7.223,"Enil",1,"pinta",4.3,14.835,4.3,"Enil",0.486889113582743,1,26.275,33.583,52.55,1
2024,"38",1,7.223,"Enil",1,"pinta",4.3,14.835,4.3,"Enil",0.486889113582743,1,26.275,33.583,52.55,1
2024,"38",2,10.394,"Enil",1,"pinta",1.7,14.835,2.2,"Enil",0.700640377485676,0.772727272727273,26.275,33.583,52.55,1
2024,"38",2,10.394,"Enil",1,"pinta",1.7,14.835,2.2,"Enil",0.700640377485676,0.772727272727273,26.275,33.583,52.55,1
2024,"38",2,10.394,"Enil",1,"pinta",1.7,14.835,2.2,"Enil",0.700640377485676,0.772727272727273,26.275,33.583,52.55,1
2024,"38",3,10.703,"Enil",1,"pinta",1.6,14.835,2.2,"Enil",0.721469497809235,0.727272727272727,26.275,33.583,52.55,1
2024,"38",3,10.703,"Enil",1,"pinta",1.6,14.835,2.2,"Enil",0.721469497809235,0.727272727272727,26.275,33.583,52.55,1
2024,"38",3,10.703,"Enil",1,"pinta",1.6,14.835,2.2,"Enil",0.721469497809235,0.727272727272727,26.275,33.583,52.55,1
2024,"38",4,10.3,"Enil",1,"pinta",2.2,14.835,2.2,"Enil",0.694304010785305,1,26.275,33.583,52.55,1
2024,"38",4,10.3,"Enil",1,"pinta",2.2,14.835,2.2,"Enil",0.694304010785305,1,26.275,33.583,52.55,1
2024,"38",4,10.3,"Enil",1,"pinta",2.2,14.835,2.2,"Enil",0.694304010785305,1,26.275,33.583,52.55,1
2024,"167",1,14.777,"Enil",1,"kolo",3,21.122,3.6,"Enil",0.699602310387274,0.833333333333333,248.389,122.728,848.4209,3
2024,"167",1,14.777,"Enil",1,"kolo",3,21.122,3.6,"Enil",0.699602310387274,0.833333333333333,248.389,122.728,848.4209,3
2024,"167",1,14.777,"Enil",1,"kolo",3,21.122,3.6,"Enil",0.699602310387274,0.833333333333333,248.389,122.728,848.4209,3
2024,"167",1,14.777,"Enil",1,"kolo",3,21.122,3.6,"Enil",0.699602310387274,0.833333333333333,248.389,122.728,848.4209,3
2024,"167",1,14.777,"Enil",1,"kolo",3,21.122,3.6,"Enil",0.699602310387274,0.833333333333333,248.389,122.728,848.4209,3
2024,"167",1,14.777,"Enil",1,"kolo",3,21.122,3.6,"Enil",0.699602310387274,0.833333333333333,248.389,122.728,848.4209,3
2024,"167",1,14.777,"Enil",1,"kolo",3,21.122,3.6,"Enil",0.699602310387274,0.833333333333333,248.389,122.728,848.4209,3
2024,"167",1,14.777,"Enil",1,"kolo",3,21.122,3.6,"Enil",0.699602310387274,0.833333333333333,248.389,122.728,848.4209,3
2024,"167",1,14.777,"Enil",1,"kolo",3,21.122,3.6,"Enil",0.699602310387274,0.833333333333333,248.389,122.728,848.4209,3
2024,"167",2,15.072,"Enil",1,"kolo",2.5,21.122,3.6,"Enil",0.713568790834201,0.694444444444444,248.389,122.728,848.4209,3
2024,"167",2,15.072,"Enil",1,"kolo",2.5,21.122,3.6,"Enil",0.713568790834201,0.694444444444444,248.389,122.728,848.4209,3
