"Distance","ID","ibutton_position","mean_temp","sd","temp_range","New_species","Entrance_distance","Area","Perimeter","Volume","Entrances_number","Bat_number"
19.1,"240","remote",-1.31567796610169,1.94016354801359,10,"Enil",19.166,275.961,168.265,1143.2191,4,0
19.1,"240","remote",-1.31567796610169,1.94016354801359,10,"Myotis",19.166,275.961,168.265,1143.2191,4,0
19.1,"240","remote",-1.31567796610169,1.94016354801359,10,"Paur",19.166,275.961,168.265,1143.2191,4,0
11.451,"28-172","remote",0.744350282485876,0.862838934177217,4,"Enil",11.529,38.186,54.052,76.372,1,1
11.451,"28-172","remote",0.744350282485876,0.862838934177217,4,"Myotis",11.529,38.186,54.052,76.372,1,0
11.451,"28-172","remote",0.744350282485876,0.862838934177217,4,"Paur",11.529,38.186,54.052,76.372,1,0
10.993,"173","remote",3.27648305084746,0.731911136737251,3,"Enil",11.247,37.908,53.56,75.816,1,2
10.993,"173","remote",3.27648305084746,0.731911136737251,3,"Myotis",11.247,37.908,53.56,75.816,1,0
10.993,"173","remote",3.27648305084746,0.731911136737251,3,"Paur",11.247,37.908,53.56,75.816,1,0
14.513,"38","remote",2.92973163841808,0.852872219818142,3.5,"Enil",14.835,26.275,33.583,52.55,1,4
14.513,"38","remote",2.92973163841808,0.852872219818142,3.5,"Myotis",14.835,26.275,33.583,52.55,1,0
14.513,"38","remote",2.92973163841808,0.852872219818142,3.5,"Paur",14.835,26.275,33.583,52.55,1,0
7.892,"10","remote",1.90636042402827,0.735223486976443,3.5,"Enil",8.097,43.527,65.822,82.7013,3,0
7.892,"10","remote",1.90636042402827,0.735223486976443,3.5,"Myotis",8.097,43.527,65.822,82.7013,3,0
7.892,"10","remote",1.90636042402827,0.735223486976443,3.5,"Paur",8.097,43.527,65.822,82.7013,3,0
19.654,"17","remote",1.46788990825688,0.974227464962265,4.5,"Enil",20.022,192.665,116.888,589.5532,3,2
19.654,"17","remote",1.46788990825688,0.974227464962265,4.5,"Myotis",20.022,192.665,116.888,589.5532,3,2
19.654,"17","remote",1.46788990825688,0.974227464962265,4.5,"Paur",20.022,192.665,116.888,589.5532,3,0
20.009,"167","remote",-2.44352159468439,2.44679372997237,10.5,"Enil",21.122,248.389,122.728,848.4209,3,5
20.009,"167","remote",-2.44352159468439,2.44679372997237,10.5,"Myotis",21.122,248.389,122.728,848.4209,3,0
20.009,"167","remote",-2.44352159468439,2.44679372997237,10.5,"Paur",21.122,248.389,122.728,848.4209,3,2
6.938,"241","remote",2.50141242937853,0.702090354458883,3.5,"Enil",6.987,28.698,38.497,57.396,2,6
6.938,"241","remote",2.50141242937853,0.702090354458883,3.5,"Myotis",6.987,28.698,38.497,57.396,2,0
6.938,"241","remote",2.50141242937853,0.702090354458883,3.5,"Paur",6.987,28.698,38.497,57.396,2,0
14.909,"2","remote",3.35409836065574,0.406596014787067,2,"Enil",16.608,116.3,92.954,311.4932,2,2
14.909,"2","remote",3.35409836065574,0.406596014787067,2,"Myotis",16.608,116.3,92.954,311.4932,2,0
14.909,"2","remote",3.35409836065574,0.406596014787067,2,"Paur",16.608,116.3,92.954,311.4932,2,0
7.797,"83","remote",1.8981612446959,0.703260639241559,3,"Enil",8.101,26.195,35.122,55.0095,1,2
7.797,"83","remote",1.8981612446959,0.703260639241559,3,"Myotis",8.101,26.195,35.122,55.0095,1,0
7.797,"83","remote",1.8981612446959,0.703260639241559,3,"Paur",8.101,26.195,35.122,55.0095,1,0
16.505,"144","remote",4.60063176895307,0.427202362895331,1.5,"Enil",16.74,84.866,80.624,238.2972,3,2
16.505,"144","remote",4.60063176895307,0.427202362895331,1.5,"Myotis",16.74,84.866,80.624,238.2972,3,21
16.505,"144","remote",4.60063176895307,0.427202362895331,1.5,"Paur",16.74,84.866,80.624,238.2972,3,0
20.058,"1-180","remote",2.72547254725473,0.955905837513096,4,"Enil",24.446,299.448,221.422,821.5596,4,4
20.058,"1-180","remote",2.72547254725473,0.955905837513096,4,"Myotis",24.446,299.448,221.422,821.5596,4,0
20.058,"1-180","remote",2.72547254725473,0.955905837513096,4,"Paur",24.446,299.448,221.422,821.5596,4,0
25.573,"7","remote",5.07522935779817,0.431039907540067,1,"Enil",25.985,176.048,184.846,441.139,4,6
25.573,"7","remote",5.07522935779817,0.431039907540067,1,"Myotis",25.985,176.048,184.846,441.139,4,72
25.573,"7","remote",5.07522935779817,0.431039907540067,1,"Paur",25.985,176.048,184.846,441.139,4,2
24.024,"160","remote",5.07950367647059,0.428807348813864,1,"Enil",26.684,103.377,93.452,294.504,3,1
24.024,"160","remote",5.07950367647059,0.428807348813864,1,"Myotis",26.684,103.377,93.452,294.504,3,52
24.024,"160","remote",5.07950367647059,0.428807348813864,1,"Paur",26.684,103.377,93.452,294.504,3,1
